id,field,category,tag,difficulty,question,c1,c2,c3,c4,answer,explanation,review_text,source_name,source_detail,source_url,is_original,is_modified
HIM0001,基礎分野,医学一般,解剖生理,1,肺胞の主な役割として最も適切なものはどれか。,尿を濃縮して水分量を調整する,胆汁を産生して脂肪を分解する,血小板を産生して止血を担う,酸素と二酸化炭素のガス交換を行う,4,肺胞は呼吸器の末端にあり、血液との間で酸素と二酸化炭素を交換する。 他の選択肢は、根拠確認を省く、標準化を無視する、目的外利用につながる等の点で不適切である。,解剖生理では、用語の暗記だけでなく、診療録上の根拠、標準化、説明責任を結び付けて理解する。,診療情報管理士認定試験 公式出題範囲等を参照した独自作成,公式問題本文は転載せず、学習目的で作成したオリジナル問題,https://jha-e.jp/,1,0
HIM0002,基礎分野,医学一般,解剖生理,1,腎臓の機能として最も適切なものはどれか。,肺胞で酸素化を行う,インスリンを産生して血糖を直接下げる,尿生成を通じて水分・電解質や老廃物を調整する,胃酸を分泌して蛋白質を消化する,3,腎臓は糸球体濾過・尿細管での再吸収などにより体液環境を調整する。 他の選択肢は、根拠確認を省く、標準化を無視する、目的外利用につながる等の点で不適切である。,解剖生理では、用語の暗記だけでなく、診療録上の根拠、標準化、説明責任を結び付けて理解する。,診療情報管理士認定試験 公式出題範囲等を参照した独自作成,公式問題本文は転載せず、学習目的で作成したオリジナル問題,https://jha-e.jp/,1,0
HIM0003,基礎分野,医学一般,解剖生理,1,肝臓の働きとして最も適切なものはどれか。,赤血球を主に産生する,尿の最終濃縮のみを行う,吸気と呼気を物理的に行う,代謝・解毒・胆汁産生などを担う,4,肝臓は糖・脂質・蛋白代謝、薬物代謝、胆汁産生など多面的な役割を持つ。 他の選択肢は、根拠確認を省く、標準化を無視する、目的外利用につながる等の点で不適切である。,解剖生理では、用語の暗記だけでなく、診療録上の根拠、標準化、説明責任を結び付けて理解する。,診療情報管理士認定試験 公式出題範囲等を参照した独自作成,公式問題本文は転載せず、学習目的で作成したオリジナル問題,https://jha-e.jp/,1,0
HIM0004,基礎分野,医学一般,解剖生理,2,心臓の右心系から送り出される血液の流れとして適切なものはどれか。,右心室から大動脈を通って全身へ向かう,左心房から肺静脈を通って肺へ向かう,右心室から肺動脈を通って肺へ向かう,左心室から上大静脈を通って頭部へ向かう,3,右心系は静脈血を肺循環へ送り、左心系は酸素化された血液を体循環へ送る。 他の選択肢は、根拠確認を省く、標準化を無視する、目的外利用につながる等の点で不適切である。,解剖生理では、用語の暗記だけでなく、診療録上の根拠、標準化、説明責任を結び付けて理解する。,診療情報管理士認定試験 公式出題範囲等を参照した独自作成,公式問題本文は転載せず、学習目的で作成したオリジナル問題,https://jha-e.jp/,1,0
HIM0005,基礎分野,医学一般,病理,1,炎症の基本的な徴候として一般に含まれるものはどれか。,徐脈・低体温・脱水のみ,黄疸・血尿・蛋白尿のみ,散瞳・眠気・難聴のみ,発赤・熱感・腫脹・疼痛など,4,炎症では血流増加や血管透過性亢進などにより発赤、熱感、腫脹、疼痛がみられる。 他の選択肢は、根拠確認を省く、標準化を無視する、目的外利用につながる等の点で不適切である。,病理では、用語の暗記だけでなく、診療録上の根拠、標準化、説明責任を結び付けて理解する。,診療情報管理士認定試験 公式出題範囲等を参照した独自作成,公式問題本文は転載せず、学習目的で作成したオリジナル問題,https://jha-e.jp/,1,0
HIM0006,基礎分野,医学一般,病理,2,悪性腫瘍の特徴として最も適切なものはどれか。,必ず被膜に包まれ増大しない,感染症だけで発生する一過性変化である,周囲組織へ全く影響しない,浸潤や転移を起こしうる,4,悪性腫瘍は自律的増殖に加え、浸潤・転移を示すことがある。 他の選択肢は、根拠確認を省く、標準化を無視する、目的外利用につながる等の点で不適切である。,病理では、用語の暗記だけでなく、診療録上の根拠、標準化、説明責任を結び付けて理解する。,診療情報管理士認定試験 公式出題範囲等を参照した独自作成,公式問題本文は転載せず、学習目的で作成したオリジナル問題,https://jha-e.jp/,1,0
HIM0007,基礎分野,医学一般,病理,2,梗塞の説明として最も適切なものはどれか。,骨折部が自然に整復される状態,細菌が血液中で増殖する状態,血流途絶により組織が壊死する状態,体温が一時的に下がる生理反応,3,梗塞は動脈閉塞などによる虚血で組織壊死が生じる病態である。 他の選択肢は、根拠確認を省く、標準化を無視する、目的外利用につながる等の点で不適切である。,病理では、用語の暗記だけでなく、診療録上の根拠、標準化、説明責任を結び付けて理解する。,診療情報管理士認定試験 公式出題範囲等を参照した独自作成,公式問題本文は転載せず、学習目的で作成したオリジナル問題,https://jha-e.jp/,1,0
HIM0008,基礎分野,医学一般,臨床医学,1,糖尿病で管理上重要となる検査指標として最も適切なものはどれか。,ASTのみ,PT-INRのみ,HbA1c,クレアチニンキナーゼのみ,3,HbA1cは過去1～2か月程度の平均的な血糖状態を反映し、糖尿病管理でよく用いられる。 他の選択肢は、根拠確認を省く、標準化を無視する、目的外利用につながる等の点で不適切である。,臨床医学では、用語の暗記だけでなく、診療録上の根拠、標準化、説明責任を結び付けて理解する。,診療情報管理士認定試験 公式出題範囲等を参照した独自作成,公式問題本文は転載せず、学習目的で作成したオリジナル問題,https://jha-e.jp/,1,0
HIM0009,基礎分野,医学一般,臨床医学,2,脳梗塞を疑う症状として最も適切なものはどれか。,突然の片麻痺や構音障害,運動後だけ一過性に息切れする,数年単位で徐々に進む歩行時痛のみ,食後の一過性胃部不快感のみ,1,脳梗塞では急な片麻痺、言語障害、顔面麻痺などの神経症状が重要である。 他の選択肢は、根拠確認を省く、標準化を無視する、目的外利用につながる等の点で不適切である。,臨床医学では、用語の暗記だけでなく、診療録上の根拠、標準化、説明責任を結び付けて理解する。,診療情報管理士認定試験 公式出題範囲等を参照した独自作成,公式問題本文は転載せず、学習目的で作成したオリジナル問題,https://jha-e.jp/,1,0
HIM0010,基礎分野,医学一般,臨床医学,2,心筋梗塞で典型的にみられる症状として最も適切なものはどれか。,慢性的な視力変化のみ,慢性的な体重変化のみ,強い胸痛や冷汗,慢性的な耳閉感のみ,3,心筋虚血により胸痛、圧迫感、冷汗、悪心などがみられることがある。 他の選択肢は、根拠確認を省く、標準化を無視する、目的外利用につながる等の点で不適切である。,臨床医学では、用語の暗記だけでなく、診療録上の根拠、標準化、説明責任を結び付けて理解する。,診療情報管理士認定試験 公式出題範囲等を参照した独自作成,公式問題本文は転載せず、学習目的で作成したオリジナル問題,https://jha-e.jp/,1,0
HIM0011,基礎分野,医学一般,公衆衛生,1,感染症対策の基本として最も適切なものはどれか。,患者説明を避けて迅速性のみを優先する,記録を残さず経験だけで対応する,感染症名をすべて同じ対応にする,感染源・感染経路・感受性宿主を意識して対策する,4,感染対策では感染成立の三要素を理解し、手指衛生、標準予防策、経路別対策を組み合わせる。 他の選択肢は、根拠確認を省く、標準化を無視する、目的外利用につながる等の点で不適切である。,公衆衛生では、用語の暗記だけでなく、診療録上の根拠、標準化、説明責任を結び付けて理解する。,診療情報管理士認定試験 公式出題範囲等を参照した独自作成,公式問題本文は転載せず、学習目的で作成したオリジナル問題,https://jha-e.jp/,1,0
HIM0012,基礎分野,医学一般,公衆衛生,2,疫学で「罹患率」を考える際に重視するものはどれか。,診療録文書の枚数,検査機器の稼働台数,ある時点で疾病を有している患者数,一定期間に新たに発生した患者数,4,罹患率は一定期間に新規発生した疾病の頻度を表す指標である。 他の選択肢は、根拠確認を省く、標準化を無視する、目的外利用につながる等の点で不適切である。,公衆衛生では、用語の暗記だけでなく、診療録上の根拠、標準化、説明責任を結び付けて理解する。,診療情報管理士認定試験 公式出題範囲等を参照した独自作成,公式問題本文は転載せず、学習目的で作成したオリジナル問題,https://jha-e.jp/,1,0
HIM0013,基礎分野,医学一般,医療制度,1,医療保険制度の説明として最も適切なものはどれか。,医療機関の建物だけを評価する制度,診療録をすべて自由記載にする制度,保険者・被保険者・医療機関等の関係で医療費を支える仕組み,病名を分類せずに保存する仕組み,3,医療保険制度は受診、給付、診療報酬請求などと関係する基本制度である。 他の選択肢は、根拠確認を省く、標準化を無視する、目的外利用につながる等の点で不適切である。,医療制度では、用語の暗記だけでなく、診療録上の根拠、標準化、説明責任を結び付けて理解する。,診療情報管理士認定試験 公式出題範囲等を参照した独自作成,公式問題本文は転載せず、学習目的で作成したオリジナル問題,https://jha-e.jp/,1,0
HIM0014,基礎分野,医学一般,医療制度,2,地域医療連携で診療情報が重要となる理由として最も適切なものはどれか。,患者の同意確認を常に省略するため,医療機関ごとに病名を別人として扱うため,転院時に情報を隠すため,継続的で安全な医療提供に必要だから,4,紹介・逆紹介、退院支援、地域連携では正確で必要な診療情報の共有が重要である。 他の選択肢は、根拠確認を省く、標準化を無視する、目的外利用につながる等の点で不適切である。,医療制度では、用語の暗記だけでなく、診療録上の根拠、標準化、説明責任を結び付けて理解する。,診療情報管理士認定試験 公式出題範囲等を参照した独自作成,公式問題本文は転載せず、学習目的で作成したオリジナル問題,https://jha-e.jp/,1,0
HIM0015,基礎分野,医学一般,医療用語,1,「予後」の意味として最も適切なものはどれか。,疾患や治療後の経過・見通し,診療録の保管場所,検査機器の製造年月日,医療費の請求番号,1,予後は病気の経過や回復・再発・死亡などの見通しを表す用語である。 他の選択肢は、根拠確認を省く、標準化を無視する、目的外利用につながる等の点で不適切である。,医療用語では、用語の暗記だけでなく、診療録上の根拠、標準化、説明責任を結び付けて理解する。,診療情報管理士認定試験 公式出題範囲等を参照した独自作成,公式問題本文は転載せず、学習目的で作成したオリジナル問題,https://jha-e.jp/,1,0
HIM0016,基礎分野,医学一般,医療用語,1,「既往歴」の説明として最も適切なものはどれか。,診療報酬点数の合計,過去にかかった病気や手術などの履歴,将来必ず発症する病名,現在の病棟配置だけを示す情報,2,既往歴は過去の疾病・手術・外傷などを把握する基本情報である。 他の選択肢は、根拠確認を省く、標準化を無視する、目的外利用につながる等の点で不適切である。,医療用語では、用語の暗記だけでなく、診療録上の根拠、標準化、説明責任を結び付けて理解する。,診療情報管理士認定試験 公式出題範囲等を参照した独自作成,公式問題本文は転載せず、学習目的で作成したオリジナル問題,https://jha-e.jp/,1,0
HIM0017,専門分野,診療情報管理,診療録管理,1,診療録管理で重視すべき基本原則として最も適切なものはどれか。,診療経過の一部だけを抜き出し、根拠資料との照合を省略する,監査に備えず個人判断で項目を削る,診療後すぐに全記録を破棄する,真正性・見読性・保存性を確保する,4,診療録は医療の継続性、法的証拠性、分析利用に関わるため、真正性・見読性・保存性が重要である。 他の選択肢は、根拠確認を省く、標準化を無視する、目的外利用につながる等の点で不適切である。,診療録管理では、用語の暗記だけでなく、診療録上の根拠、標準化、説明責任を結び付けて理解する。,診療情報管理士認定試験 公式出題範囲等を参照した独自作成,公式問題本文は転載せず、学習目的で作成したオリジナル問題,https://jha-e.jp/,1,0
